"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL3927617";"";"None";"359.81";"0";"2.68";"BDBM128413";"Cn1cc(Cl)c2cnc(NC(=O)c3ccc([C@](C)(O)CO)cc3)cc21";"IC50";"'='";"38.0";"nM";"7.42";"";"259344";"UO_0000065";"20.62";"0.41";"4.74";"8.49";"0";"CHEMBL3705948";"Homogeneous Time-Resolved Fluorescence Assay: The inhibitory properties of compounds to ASK1 may be determined using a white 384-well-plate format under the following reaction conditions: 25 nM ASK1, 1 uM CisBio STK S3-biotion peptide, 100 uM ATP, and 1%-2% DMSO in kinase assay buffer of 50 mM HEPES, pH 7.3, 10 mM NaCl, 10 mM MgCl2, 0.01% Brij35, 0.2 mM EDTA, and 1 mM DTT. Reaction product is determined quantitatively by HTRF after the addition of detection reagent SA-XL665 and STK-antibody-cryptate.The assay reaction may be initiated as follows: 2 ul of the mixture of 3 uM CisBio STK S3-biotion peptide and 300 uM ATP with 2 ul of test compound (2 fold serial dilutions for 11 data points for each inhibitor) containing 3%-6% DMSO are added to each well of the plate, followed by the addition of 2 uL of 75 nM ASK1 to initiate the reaction (final enzyme concentration was 25 nM for ASK1). The reaction mixture may then be incubated at room temperature for 1 hour, and quenched and developed.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639127";"37";"BindingDB Patent Bioactivity Data";"";"2014";"None";"";"";"";"38.0"
"CHEMBL3330172";"";"None";"336.44";"0";"1.84";"19";"Cc1cc2c(-c3ccc(S(=O)(=O)NCCN)s3)ccnc2[nH]1";"IC50";"'='";"251.0";"nM";"6.60";"";"";"UO_0000065";"19.62";"0.41";"4.76";"6.54";"0";"CHEMBL3375026";"Inhibition of ASK1 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352072";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";"";"0.251"
"CHEMBL3402498";"";"None";"517.05";"2";"7.47";"24";"Cc1cc(C)c2nc(N3C(=O)C(O)=C(C(=O)c4ccc(Cl)cc4)C3c3ccc(C(C)C)cc3)sc2c1";"IC50";"'='";"6300.0";"nM";"5.20";"";"";"UO_0000065";"10.06";"0.20";"-2.27";"7.38";"0";"CHEMBL3405544";"Inhibition of recombinant ASK1 catalytic subunit (unknown origin) using MBP substrate and gamma-labeled 32P ATP incubated for 20 mins by liquid scintillation counting method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3400130";"1";"Scientific Literature";"Bioorg Med Chem";"2015";"None";"";"";"";"6.3"
"CHEMBL3402495";"";"None";"500.60";"2";"6.82";"21";"Cc1ccc(C(=O)C2=C(O)C(=O)N(c3nc4ccc(F)cc4s3)C2c2ccc(C(C)(C)C)cc2)cc1";"IC50";"'='";"7600.0";"nM";"5.12";"";"";"UO_0000065";"10.23";"0.19";"-1.70";"7.26";"0";"CHEMBL3405544";"Inhibition of recombinant ASK1 catalytic subunit (unknown origin) using MBP substrate and gamma-labeled 32P ATP incubated for 20 mins by liquid scintillation counting method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3400130";"1";"Scientific Literature";"Bioorg Med Chem";"2015";"None";"";"";"";"7.6"
"CHEMBL3402491";"";"None";"490.97";"1";"6.13";"17";"CCOc1ccc2nc(N3C(=O)C(O)=C(C(=O)c4ccccc4)C3c3ccc(Cl)cc3)sc2c1";"IC50";"'='";"4200.0";"nM";"5.38";"";"";"UO_0000065";"10.95";"0.22";"-0.75";"6.74";"0";"CHEMBL3405544";"Inhibition of recombinant ASK1 catalytic subunit (unknown origin) using MBP substrate and gamma-labeled 32P ATP incubated for 20 mins by liquid scintillation counting method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3400130";"1";"Scientific Literature";"Bioorg Med Chem";"2015";"None";"";"";"";"4.2"
"CHEMBL3916717";"SELONSERTIB";"3.0";"445.50";"0";"4.68";"EUB0000695a";"Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1";"IC50";"'='";"1384.0";"nM";"5.86";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5445445";"Affinity Phenotypic Cellular interaction: (MTT assay (ABCG2-gene-transfected cell line HEK293/ABCG2-482-T7, Cisplatin treatment, using 3 uM Selonsertib)) EUB0000695a MAP3K5";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293/ABCG2-482-T7";"None";"Mode of action: Inhibitor | Protein family: Protein kinase | Recommended concentration = 100.0 nM";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5444388";"65";"EUbOPEN Chemogenomic Library Literature Data";"";"2024";"CHEMBL5446292";"Affinity Phenotypic Cellular Source Knowledge: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8132112/";"";"";"1384.0"
"CHEMBL3916717";"SELONSERTIB";"3.0";"445.50";"0";"4.68";"EUB0000695a";"Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1";"IC50";"'='";"3.0";"nM";"8.52";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5445319";"Affinity Phenotypic Cellular interaction: (MTT assay (ABCB1-substrate-selected resistant cell line KB-3-1, Paclitaxel treatment, using 3 uM Selonsertib)) EUB0000695a MAP3K5";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"KB 3-1";"None";"Mode of action: Inhibitor | Protein family: Protein kinase | Recommended concentration = 100.0 nM";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5444388";"65";"EUbOPEN Chemogenomic Library Literature Data";"";"2024";"CHEMBL3307659";"Affinity Phenotypic Cellular Source Knowledge: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8132112/";"";"";"3.0"
"CHEMBL3916717";"SELONSERTIB";"3.0";"445.50";"0";"4.68";"EUB0000695a";"Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1";"IC50";"'='";"4792.0";"nM";"5.32";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5445324";"Affinity Phenotypic Cellular interaction: (MTT assay (ABCB1-substrate-selected resistant cell line KB-C2, Doxorubicin treatment, using 0 uM Selonsertib)) EUB0000695a MAP3K5";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"KB-C2";"None";"Mode of action: Inhibitor | Protein family: Protein kinase | Recommended concentration = 100.0 nM";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5444388";"65";"EUbOPEN Chemogenomic Library Literature Data";"";"2024";"CHEMBL5058612";"Affinity Phenotypic Cellular Source Knowledge: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8132112/";"";"";"4792.0"
"CHEMBL3916717";"SELONSERTIB";"3.0";"445.50";"0";"4.68";"EUB0000695a";"Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1";"IC50";"'='";"2813.0";"nM";"5.55";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5445374";"Affinity Phenotypic Cellular interaction: (MTT assay (ABCG2-substrate-selected resistant cell line NCI-H460/MX20, Cisplatin treatment, using 10 uM Selonsertib)) EUB0000695a MAP3K5";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H460/MX20";"None";"Mode of action: Inhibitor | Protein family: Protein kinase | Recommended concentration = 100.0 nM";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5444388";"65";"EUbOPEN Chemogenomic Library Literature Data";"";"2024";"CHEMBL5446281";"Affinity Phenotypic Cellular Source Knowledge: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8132112/";"";"";"2813.0"
"CHEMBL3916717";"SELONSERTIB";"3.0";"445.50";"0";"4.68";"EUB0000695a";"Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1";"IC50";"'='";"47.0";"nM";"7.33";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5445378";"Affinity Phenotypic Cellular interaction: (MTT assay (ABCG2-substrate-selected resistant cell line S1, SN-38 treatment, using 0 uM Selonsertib)) EUB0000695a MAP3K5";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"S1";"None";"Mode of action: Inhibitor | Protein family: Protein kinase | Recommended concentration = 100.0 nM";"";"";"CHEMBL5285";"Mitogen-activated protein kinase kinase kinase 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5444388";"65";"EUbOPEN Chemogenomic Library Literature Data";"";"2024";"CHEMBL4630771";"Affinity Phenotypic Cellular Source Knowledge: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8132112/";"";"";"47.0"
